symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2021-02-01 00:00:00+00:00,1901.35,1922.3918,1850.93,1853.57,1602182,1901.35,1922.3918,1850.93,1853.57,1602182,0.0,1.0
GOOG,2021-02-02 00:00:00+00:00,1927.51,1955.76,1914.49,1922.56,2103864,1927.51,1955.76,1914.49,1922.56,2103864,0.0,1.0
GOOG,2021-02-03 00:00:00+00:00,2070.07,2116.5,2018.38,2073.0,4118170,2070.07,2116.5,2018.38,2073.0,4118170,0.0,1.0
GOOG,2021-02-04 00:00:00+00:00,2062.37,2078.55,2042.59,2068.89,1852329,2062.37,2078.55,2042.59,2068.89,1852329,0.0,1.0
GOOG,2021-02-05 00:00:00+00:00,2098.0,2102.51,2059.33,2070.0,1535135,2098.0,2102.51,2059.33,2070.0,1535135,0.0,1.0
GOOG,2021-02-08 00:00:00+00:00,2092.91,2123.5469,2072.0,2105.91,1242411,2092.91,2123.5469,2072.0,2105.91,1242411,0.0,1.0
GOOG,2021-02-09 00:00:00+00:00,2083.51,2105.13,2078.54,2078.54,886247,2083.51,2105.13,2078.54,2078.54,886247,0.0,1.0
GOOG,2021-02-10 00:00:00+00:00,2095.38,2108.37,2063.09,2094.21,1132741,2095.38,2108.37,2063.09,2094.21,1132741,0.0,1.0
GOOG,2021-02-11 00:00:00+00:00,2095.89,2102.03,2077.32,2099.51,945650,2095.89,2102.03,2077.32,2099.51,945650,0.0,1.0
GOOG,2021-02-12 00:00:00+00:00,2104.11,2108.82,2083.13,2090.25,855865,2104.11,2108.82,2083.13,2090.25,855865,0.0,1.0
GOOG,2021-02-16 00:00:00+00:00,2121.9,2152.68,2104.36,2104.36,1133838,2121.9,2152.68,2104.36,2104.36,1133838,0.0,1.0
GOOG,2021-02-17 00:00:00+00:00,2128.31,2133.66,2098.92,2100.0,1020252,2128.31,2133.66,2098.92,2100.0,1020252,0.0,1.0
GOOG,2021-02-18 00:00:00+00:00,2117.2,2132.735,2103.71,2110.39,1121855,2117.2,2132.735,2103.71,2110.39,1121855,0.0,1.0
GOOG,2021-02-19 00:00:00+00:00,2101.14,2130.53,2097.41,2119.27,1457612,2101.14,2130.53,2097.41,2119.27,1457612,0.0,1.0
GOOG,2021-02-22 00:00:00+00:00,2064.88,2091.42,2062.14,2067.0,1349856,2064.88,2091.42,2062.14,2067.0,1349856,0.0,1.0
GOOG,2021-02-23 00:00:00+00:00,2070.86,2082.01,2002.02,2025.01,1667377,2070.86,2082.01,2002.02,2025.01,1667377,0.0,1.0
GOOG,2021-02-24 00:00:00+00:00,2095.17,2100.78,2038.13,2041.83,1248349,2095.17,2100.78,2038.13,2041.83,1248349,0.0,1.0
GOOG,2021-02-25 00:00:00+00:00,2031.36,2094.88,2021.29,2067.45,1761201,2031.36,2094.88,2021.29,2067.45,1761201,0.0,1.0
GOOG,2021-02-26 00:00:00+00:00,2036.86,2071.0099,2016.06,2050.52,2076974,2036.86,2071.0099,2016.06,2050.52,2076974,0.0,1.0
GOOG,2021-03-01 00:00:00+00:00,2081.51,2086.52,2046.1,2056.52,1405115,2081.51,2086.52,2046.1,2056.52,1405115,0.0,1.0
GOOG,2021-03-02 00:00:00+00:00,2075.84,2104.37,2071.26,2076.19,1134595,2075.84,2104.37,2071.26,2076.19,1134595,0.0,1.0
GOOG,2021-03-03 00:00:00+00:00,2026.71,2088.518,2010.0,2067.21,1484181,2026.71,2088.518,2010.0,2067.21,1484181,0.0,1.0
GOOG,2021-03-04 00:00:00+00:00,2049.09,2089.24,2020.27,2023.37,2118006,2049.09,2089.24,2020.27,2023.37,2118006,0.0,1.0
GOOG,2021-03-05 00:00:00+00:00,2108.54,2118.11,2046.415,2073.12,2195218,2108.54,2118.11,2046.415,2073.12,2195218,0.0,1.0
GOOG,2021-03-08 00:00:00+00:00,2024.17,2128.81,2021.61,2101.13,1647429,2024.17,2128.81,2021.61,2101.13,1647429,0.0,1.0
