,ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,currentDate,Implied volatility,Underlying asset price,Expiration time,new_index
166,2/24/17,45.5,ATVI,Call,0.33,-0.12,0.33,0.36,314,530,0.44401,0.45587,0.00382,-0.03182,0.02465,2/17/17,0.16326,45.330002,0.019164956,10
168,2/24/17,46.5,ATVI,Call,0.09,-0.07,0.08,0.1,103,569,0.11926,0.21029,0.00103,-0.01664,0.01732,2/17/17,0.17819,45.330002,0.019164956,11
170,2/24/17,47.5,ATVI,Call,0.03,-0.01,0.02,0.04,43,78,0.05546,0.08483,0.00048,-0.01193,0.00751,2/17/17,0.20976,45.330002,0.019164956,12
174,2/24/17,45,ATVI,Put,0.29,-0.17,0.28,0.3,96,1146,-0.3708,0.35528,-0.00287,-0.03121,0.02404,2/17/17,0.1754,45.330002,0.019164956,13
183,3/3/17,47,ATVI,Call,0.15,-0.11,0.14,0.17,125,1072,0.13688,0.15499,0.00236,-0.01363,0.02497,2/17/17,0.18599,45.330002,0.038329911,14
184,3/10/17,45,ATVI,Call,0.97,-0.27,1.01,1.05,21,61,0.58867,0.18503,0.01475,-0.02732,0.04165,2/17/17,0.17096,45.330002,0.057494867,15
185,3/10/17,45.5,ATVI,Call,0.73,-0.09,0.74,0.78,20,305,0.4955,0.25026,0.01262,-0.02178,0.04253,2/17/17,0.17641,45.330002,0.057494867,16
186,3/10/17,47,ATVI,Call,0.25,-0.06,0.26,0.29,6,55,0.19978,0.16106,0.00514,-0.01454,0.03055,2/17/17,0.1859,45.330002,0.057494867,17
194,3/17/17,47,ATVI,Call,0.39,-0.03,0.38,0.41,112,880,0.26815,0.14779,0.00909,-0.01809,0.03464,2/17/17,0.18872,45.330002,0.076659822,18
199,3/24/17,45,ATVI,Call,1.25,-0.07,1.3,1.34,21,27,0.60306,0.18311,0.02519,-0.01798,0.05326,2/17/17,0.17957,45.330002,0.095824778,19
201,3/24/17,48,ATVI,Call,0.27,-0.19,0.26,0.3,10,18,0.1877,0.10403,0.00797,-0.01252,0.04029,2/17/17,0.18703,45.330002,0.095824778,20
226,5/19/17,41,ATVI,Put,0.92,0.05,0.87,0.9,39,3574,-0.20442,0.04507,-0.02123,-0.0113,0.05873,2/17/17,0.307,45.330002,0.249144422,21
236,8/18/17,45,ATVI,Call,3.52,0.02,3.5,3.65,111,544,0.61286,0.0622,0.1229,-0.01193,0.11949,2/17/17,0.23582,45.330002,0.498288843,22
243,8/18/17,44,ATVI,Put,2.9,-0.01,2.81,2.9,6,12,-0.37672,0.04162,-0.07701,-0.00966,0.11857,2/17/17,0.3048,45.330002,0.498288843,23
244,8/18/17,45,ATVI,Put,3.4,0.1,3.25,3.4,12,154,-0.41934,0.04443,-0.07997,-0.01005,0.12135,2/17/17,0.30839,45.330002,0.498288843,24
246,8/18/17,47,ATVI,Put,4.33,-0.02,4.35,4.45,3,164,-0.50464,0.04696,-0.0919,-0.00868,0.12623,2/17/17,0.29661,45.330002,0.498288843,25
260,3/17/17,110,ADBE,Put,0.5,-0.07,0.44,0.5,97,1840,-0.1069,0.02118,-0.00902,-0.03136,0.07754,2/17/17,0.2666,119.669998,0.076659822,26
261,3/17/17,115,ADBE,Put,1.29,-0.27,1.24,1.32,260,554,-0.27133,0.03734,-0.02187,-0.05902,0.12285,2/17/17,0.24542,119.669998,0.076659822,27
266,4/21/17,120,ADBE,Call,3.75,0.34,3.75,3.95,425,2288,0.55576,0.05768,0.11011,-0.03701,0.19173,2/17/17,0.18394,119.669998,0.1724846,28
274,7/21/17,115,ADBE,Call,9.31,0.06,9.7,9.9,7,1749,0.72514,0.02565,0.32779,-0.02822,0.26988,2/17/17,0.18994,119.669998,0.421629021,29
283,1/19/18,125,ADBE,Call,9.03,0.43,9.05,9.3,14,390,0.53986,0.019,0.52036,-0.02302,0.45736,2/17/17,0.21886,119.669998,0.919917864,30
303,2/24/17,12.5,AMD,Put,0.08,-0.05,0.07,0.09,818,2021,-0.19076,0.39845,-0.00046,-0.01532,0.00452,2/17/17,0.41802,13.13,0.019164956,31
309,3/3/17,13,AMD,Call,0.52,0.06,0.53,0.56,725,1663,0.54978,0.33098,0.00255,-0.02214,0.0099,2/17/17,0.43714,13.13,0.038329911,32
310,3/3/17,13.5,AMD,Call,0.32,0.03,0.3,0.34,1024,987,0.39459,0.31744,0.00185,-0.01997,0.01016,2/17/17,0.45949,13.13,0.038329911,33
338,3/24/17,12,AMD,Put,0.33,-0.02,0.31,0.34,84,265,-0.25368,0.1652,-0.00291,-0.01035,0.01475,2/17/17,0.50425,13.13,0.095824778,34
342,3/24/17,14,AMD,Put,1.36,-0.08,1.3,1.36,10,208,-0.61647,0.1767,-0.00717,-0.01273,0.01635,2/17/17,0.52746,13.13,0.095824778,35
366,5/19/17,45,AERI,Call,5.65,-0.95,5.4,6.9,16,79,0.42487,0.0255,0.02999,-0.03996,0.07861,2/17/17,0.624,44.849998,0.249144422,36
381,3/24/17,20,AGNC,Call,0.07,0.01,0.05,0.1,1,5,0.21744,0.55759,0.00408,-0.00315,0.01818,2/17/17,0.08884,19.49,0.095824778,37
388,3/17/17,20,AGNC,Put,0.8,0.12,0.68,0.79,10,350,-0.62876,0.30468,-0.00758,-0.00856,0.02149,2/17/17,0.24567,19.49,0.076659822,38
394,9/15/17,18,AGNC,Put,0.67,-0.03,0.64,0.77,20,2532,-0.26478,0.09671,-0.02662,-0.00245,0.05072,2/17/17,0.24618,19.49,0.574948665,39
411,2/24/17,64,AKAM,Call,0.17,-0.65,0.09,0.15,12,47,0.11866,0.13529,0.0014,-0.02557,0.02365,2/17/17,0.20385,62.34,0.019164956,40
428,3/3/17,66.5,AKAM,Call,0.1,-0.12,0.02,0.09,3,39,0.06994,0.04919,0.00164,-0.01541,0.01488,2/17/17,0.22365,62.34,0.038329911,41
434,3/24/17,64,AKAM,Call,1.13,-0.66,0.94,1.04,24,108,0.38535,0.08468,0.02187,-0.03202,0.07743,2/17/17,0.23086,62.34,0.095824778,42
450,3/10/17,62,AKAM,Put,1.09,0.34,1,1.09,7,28,-0.45104,0.15136,-0.0134,-0.02792,0.05759,2/17/17,0.219,62.34,0.057494867,43
463,5/19/17,65,AKAM,Call,2.6,-0.8,2.56,2.73,131,614,0.42337,0.05097,0.0602,-0.02275,0.12608,2/17/17,0.28175,62.34,0.249144422,44
472,8/18/17,60,AKAM,Put,4.41,0.41,4.15,4.35,35,70,-0.37074,0.02619,-0.10622,-0.01537,0.16212,2/17/17,0.3455,62.34,0.498288843,45
477,1/19/18,67.5,AKAM,Call,5.75,-0.68,5.55,6.25,1,113,0.49027,0.02613,0.23347,-0.01433,0.24456,2/17/17,0.30083,62.34,0.919917864,46
494,2/24/17,128,ALXN,Call,2.44,-1.49,2.25,2.7,45,26,0.55222,0.0762,0.01312,-0.19113,0.06883,2/17/17,0.27373,128.820007,0.019164956,47
511,3/10/17,135,ALXN,Call,1.4,-2.9,1,2.05,8,2,0.2509,0.03874,0.01789,-0.08079,0.08423,2/17/17,0.28449,128.820007,0.057494867,48
515,3/17/17,135,ALXN,Call,1.82,-0.93,1.85,2.2,106,334,0.28718,0.03577,0.02705,-0.07904,0.14544,2/17/17,0.28664,128.820007,0.076659822,49
517,3/24/17,130,ALXN,Call,3.94,-4.08,4.2,4.8,3,4,0.48588,0.03761,0.05612,-0.08177,0.15598,2/17/17,0.26779,128.820007,0.095824778,50
531,5/19/17,130,ALXN,Put,10.5,1.7,9.4,10,8,70,-0.47382,0.01843,-0.12975,-0.05189,0.24936,2/17/17,0.40159,128.820007,0.249144422,51
543,3/17/17,100,ALGN,Call,3.32,0.72,3.1,3.6,25,109,0.6234,0.07005,0.04606,-0.0524,0.10623,2/17/17,0.19409,101.769997,0.076659822,52
550,4/21/17,105,ALGN,Call,2.34,0.39,2.15,2.6,34,133,0.38604,0.04548,0.06397,-0.03534,0.17197,2/17/17,0.20169,101.769997,0.1724846,53
560,3/17/17,50,ALKS,Put,0.83,-0.17,0.65,0.95,49,24,-0.23832,0.05969,-0.00844,-0.03462,0.05418,2/17/17,0.43731,54.57,0.076659822,54
564,5/19/17,55,ALKS,Put,4.94,0.34,4.5,5.4,2,60,-0.51448,0.04287,-0.05966,-0.02121,0.10514,2/17/17,0.45848,54.57,0.249144422,55
576,6/16/17,22.5,ARLP,Call,3,0.4,2.8,3.3,2,180,0.71433,0.07455,0.04657,-0.00974,0.0494,2/17/17,0.33896,24.299999,0.325804244,56
593,6/16/17,50,ALNY,Call,5.3,0.48,5.2,5.9,38,2667,0.53721,0.02657,0.06553,-0.03327,0.10699,2/17/17,0.52902,48.279999,0.325804244,57
607,2/24/17,820,GOOG,Call,9.5,1.16,8.8,10.4,74,124,0.8208,0.02874,0.12838,-0.30432,0.27645,2/17/17,0.0874,828.070007,0.019164956,58
614,2/24/17,842.5,GOOG,Call,0.51,-0.19,0.3,0.7,30,55,0.17688,0.01783,0.02791,-0.32826,0.31429,2/17/17,0.09636,828.070007,0.019164956,59
617,2/24/17,797.5,GOOG,Put,0.51,-0.26,0.05,0.35,20,50,-0.02275,0.00326,-0.00327,-0.06925,0.1148,2/17/17,0.17761,828.070007,0.019164956,60
623,2/24/17,812.5,GOOG,Put,0.94,-2.24,0.55,0.95,52,40,-0.1258,0.01481,-0.01804,-0.22168,0.27757,2/17/17,0.12759,828.070007,0.019164956,61
626,2/24/17,820,GOOG,Put,2.13,-1.87,1.8,2.2,82,92,-0.29707,0.02217,-0.04028,-0.42671,0.43304,2/17/17,0.11406,828.070007,0.019164956,62
644,3/3/17,822.5,GOOG,Call,10.8,1.3,10,11.4,4,22,0.66255,0.02266,0.2069,-0.32614,0.60763,2/17/17,0.11345,828.070007,0.038329911,63
649,3/3/17,837.5,GOOG,Call,3.4,0.24,3.2,3.9,25,19,0.30855,0.02258,0.09756,-0.28138,0.66419,2/17/17,0.1021,828.070007,0.038329911,64
661,3/10/17,820,GOOG,Call,13.97,1.67,13.8,15,1,34,0.65323,0.01433,0.30261,-0.34311,0.74561,2/17/17,0.1021,828.070007,0.057494867,65
663,3/10/17,827.5,GOOG,Call,9.82,1.29,9.4,10.5,6,6,0.55778,0.0215,0.26221,-0.2907,0.7644,2/17/17,0.10812,828.070007,0.057494867,66
665,3/10/17,835,GOOG,Call,6.7,0.4,5.9,7,1,27,0.40932,0.01965,0.19317,-0.26215,0.79998,2/17/17,0.11668,828.070007,0.057494867,67
679,3/17/17,805,GOOG,Call,27.3,3.7,26,28.5,17,258,0.87331,0.00916,0.53372,-0.20278,0.51097,2/17/17,0.11228,828.070007,0.076659822,68
681,3/17/17,815,GOOG,Call,20.1,2,19.2,20.8,19,193,0.74886,0.01347,0.46155,-0.25367,0.82313,2/17/17,0.12542,828.070007,0.076659822,69
684,3/17/17,830,GOOG,Call,10.6,0.5,10.2,11.3,123,819,0.52032,0.01579,0.32386,-0.286,0.89284,2/17/17,0.11668,828.070007,0.076659822,70
694,3/17/17,880,GOOG,Call,0.55,-0.02,0.3,0.7,2,1187,0.07995,0.00444,0.05046,-0.11112,0.29767,2/17/17,0.1221,828.070007,0.076659822,71
700,3/24/17,850,GOOG,Call,4.7,0.42,4.4,5.2,5,212,0.24819,0.01248,0.19632,-0.16488,0.74772,2/17/17,0.11668,828.070007,0.095824778,72
705,3/3/17,787.5,GOOG,Put,0.68,-0.81,0.45,0.8,2,18,-0.064,0.00447,-0.01977,-0.14087,0.1627,2/17/17,0.16792,828.070007,0.038329911,73
711,3/3/17,807.5,GOOG,Put,2.05,-6.95,1.55,2.15,15,4,-0.14996,0.01122,-0.04405,-0.18155,0.38676,2/17/17,0.13626,828.070007,0.038329911,74
723,3/10/17,785,GOOG,Put,1.25,-0.25,0.85,1.3,12,19,-0.08087,0.00457,-0.03331,-0.13668,0.46037,2/17/17,0.16372,828.070007,0.057494867,75
727,3/10/17,797.5,GOOG,Put,1.97,-2.18,1.65,2.25,12,5,-0.16888,0.00745,-0.07593,-0.21771,0.4755,2/17/17,0.14529,828.070007,0.057494867,76
729,3/10/17,802.5,GOOG,Put,2.69,-15.71,2.15,2.85,10,2,-0.12578,0.00866,-0.05468,-0.12022,0.45852,2/17/17,0.14879,828.070007,0.057494867,77
731,3/10/17,810,GOOG,Put,3.81,-2.29,3.3,4.1,1,117,-0.21708,0.01192,-0.08892,-0.19676,0.5724,2/17/17,0.14086,828.070007,0.057494867,78
734,3/10/17,827.5,GOOG,Put,10.5,-3.82,8.7,10,1,4,-0.46478,0.02017,-0.16205,-0.20315,0.76748,2/17/17,0.14573,828.070007,0.057494867,79
737,3/17/17,760,GOOG,Put,0.75,-0.24,0.75,0.9,11,540,-0.04683,0.0022,-0.02878,-0.08201,0.21839,2/17/17,0.19035,828.070007,0.076659822,80
742,3/17/17,785,GOOG,Put,1.75,-0.66,1.55,2.1,21,445,-0.11654,0.005,-0.06764,-0.14414,0.53031,2/17/17,0.15743,828.070007,0.076659822,81
746,3/17/17,805,GOOG,Put,4.62,-1.08,3.9,4.8,20,452,-0.23831,0.00876,-0.12653,-0.22166,0.83423,2/17/17,0.14627,828.070007,0.076659822,82
749,3/17/17,820,GOOG,Put,8.48,-3.42,7.7,8.5,25,246,-0.38703,0.01078,-0.21236,-0.25127,0.86918,2/17/17,0.1387,828.070007,0.076659822,83
753,3/17/17,840,GOOG,Put,18.66,-3.04,17.2,19.1,16,35,-0.59951,0.01088,-0.2899,-0.23852,0.91095,2/17/17,0.14319,828.070007,0.076659822,84
756,3/24/17,760,GOOG,Put,1.2,-0.2,0.9,1.2,7,31,-0.10017,0.00299,-0.07237,-0.16116,0.58866,2/17/17,0.18071,828.070007,0.095824778,85
763,3/24/17,800,GOOG,Put,4.8,-1.2,4.1,4.9,4,55,-0.1902,0.00775,-0.13667,-0.14624,0.61177,2/17/17,0.15533,828.070007,0.095824778,86
769,4/21/17,785,GOOG,Call,49.35,2.15,49.3,51.8,6,9,0.93122,0.00387,1.24403,-0.15402,0.67846,2/17/17,0.11558,828.070007,0.1724846,87
773,4/21/17,815,GOOG,Call,28.59,1.44,27.6,29.1,10,60,0.66336,0.00757,0.89859,-0.24269,1.26328,2/17/17,0.13657,828.070007,0.1724846,88
790,4/21/17,775,GOOG,Put,5.3,-2.18,4.8,5.1,12,91,-0.14864,0.00402,-0.19878,-0.10684,0.77219,2/17/17,0.17468,828.070007,0.1724846,89
809,6/16/17,815,GOOG,Call,40.5,2.1,39.4,41.4,2,111,0.67611,0.00617,1.71215,-0.18424,1.69197,2/17/17,0.15087,828.070007,0.325804244,90
822,6/16/17,895,GOOG,Call,8.7,0.08,8.1,9.2,1,62,0.25156,0.00449,0.65652,-0.13951,1.45595,2/17/17,0.15109,828.070007,0.325804244,92
829,6/16/17,810,GOOG,Put,23.9,-1.06,22.4,23.9,13,371,-0.36802,0.00433,-0.82975,-0.13261,1.74823,2/17/17,0.18798,828.070007,0.325804244,93
842,9/15/17,870,GOOG,Call,28.4,2.2,26.5,28.5,3,70,0.43987,0.00445,1.96464,-0.14909,2.67126,2/17/17,0.15533,828.070007,0.574948665,94
843,9/15/17,875,GOOG,Call,26.38,1.46,24.5,26.6,2,13,0.42274,0.00429,1.88673,-0.15015,2.69629,2/17/17,0.15924,828.070007,0.574948665,95
859,9/15/17,860,GOOG,Put,60.5,-1.9,57.8,61.3,1,11,-0.54861,0.00404,-1.79673,-0.07658,2.49795,2/17/17,0.20761,828.070007,0.574948665,96
861,9/15/17,875,GOOG,Put,69.87,-7.23,66.8,69.9,2,4,-0.59169,0.00373,-1.82621,-0.07812,2.48351,2/17/17,0.2011,828.070007,0.574948665,97
875,1/19/18,820,GOOG,Put,55.3,-1.9,53,56.1,3,190,-0.39876,0.00228,-2.29624,-0.09158,2.92391,2/17/17,0.22263,828.070007,0.919917864,98
902,2/24/17,845,GOOGL,Call,5.1,0.3,5.1,5.4,689,474,0.60114,0.04357,0.09677,-0.36954,0.44712,2/17/17,0.0879,846.549988,0.019164956,99
907,2/24/17,857.5,GOOGL,Call,0.97,-0.23,0.9,1.2,95,99,0.23097,0.02316,0.03727,-0.37046,0.31859,2/17/17,0.08879,846.549988,0.019164956,100
911,2/24/17,867.5,GOOGL,Call,0.24,-0.77,0.1,0.45,6,34,0.07025,0.00999,0.01139,-0.15582,0.14293,2/17/17,0.1021,846.549988,0.019164956,101
919,2/24/17,820,GOOGL,Put,0.3,-0.55,0.3,0.4,72,308,-0.07871,0.00751,-0.01224,-0.24521,0.2124,2/17/17,0.13587,846.549988,0.019164956,102
921,2/24/17,825,GOOGL,Put,0.59,-0.78,0.4,0.6,163,260,-0.06155,0.00834,-0.00961,-0.14045,0.11909,2/17/17,0.13261,846.549988,0.019164956,103
925,2/24/17,835,GOOGL,Put,1.4,-2.05,1.1,1.5,252,115,-0.20844,0.01947,-0.03147,-0.34652,0.29131,2/17/17,0.11668,846.549988,0.019164956,104
926,2/24/17,837.5,GOOGL,Put,1.8,-2.12,1.55,1.95,111,129,-0.20112,0.02488,-0.0302,-0.25361,0.28945,2/17/17,0.11668,846.549988,0.019164956,105
928,2/24/17,842.5,GOOGL,Put,3.5,-2.7,2.8,3.4,65,46,-0.34884,0.03159,-0.04871,-0.32391,0.44426,2/17/17,0.12059,846.549988,0.019164956,106
931,2/24/17,850,GOOGL,Put,7.1,-3.9,6.3,7.1,89,116,-0.58665,0.03166,-0.072,-0.35194,0.46203,2/17/17,0.12056,846.549988,0.019164956,107
932,2/24/17,852.5,GOOGL,Put,8.6,-3.76,7.8,8.8,16,41,-0.6535,0.02856,-0.08093,-0.34983,0.4636,2/17/17,0.11844,846.549988,0.019164956,108
940,3/3/17,820,GOOGL,Call,28.5,5.05,27.3,28.5,4,52,1,0,0.31326,-0.12532,0,2/17/17,0.13326,846.549988,0.038329911,109
947,3/3/17,840,GOOGL,Call,11.15,1,11.2,12.1,86,177,0.66629,0.0193,0.21198,-0.36802,0.62252,2/17/17,0.10214,846.549988,0.038329911,110
957,3/3/17,867.5,GOOGL,Call,1.47,0.13,1.15,1.5,2,108,0.19706,0.01278,0.0635,-0.27053,0.46256,2/17/17,0.11668,846.549988,0.038329911,111
958,3/3/17,870,GOOGL,Call,1.19,0.54,0.9,1.4,2,70,0.16676,0.01143,0.05379,-0.24176,0.46662,2/17/17,0.11735,846.549988,0.038329911,112
960,3/3/17,875,GOOGL,Call,0.83,0.04,0.5,1,2,55,0.09827,0.00859,0.03187,-0.16517,0.33798,2/17/17,0.12482,846.549988,0.038329911,113
971,3/10/17,855,GOOGL,Call,6.35,0.7,5.8,6.4,14,225,0.38647,0.0193,0.18675,-0.25892,0.82414,2/17/17,0.11672,846.549988,0.057494867,114
973,3/10/17,867.5,GOOGL,Call,2.85,0.16,2.45,2.9,40,15,0.25117,0.01231,0.12112,-0.26817,0.56564,2/17/17,0.11668,846.549988,0.057494867,115
975,3/10/17,875,GOOGL,Call,1.64,0.34,1.35,1.8,4,1,0.17621,0.00962,0.08517,-0.20954,0.58069,2/17/17,0.11845,846.549988,0.057494867,116
976,3/10/17,880,GOOGL,Call,1.18,-0.22,0.9,1.45,11,3,0.14443,0.00802,0.06982,-0.19402,0.58482,2/17/17,0.11671,846.549988,0.057494867,117
986,3/17/17,820,GOOGL,Call,30.15,1.85,30.3,31.4,69,732,0.92842,0.00666,0.57919,-0.17748,0.4984,2/17/17,0.11112,846.549988,0.076659822,118
987,3/17/17,825,GOOGL,Call,26.29,1.87,26.2,27.3,27,543,0.8132,0.00977,0.5072,-0.26217,0.54961,2/17/17,0.11845,846.549988,0.076659822,119
992,3/17/17,850,GOOGL,Call,10.3,0.75,10,10.8,276,1340,0.50451,0.01344,0.31975,-0.32135,0.9165,2/17/17,0.11668,846.549988,0.076659822,120
1001,3/17/17,900,GOOGL,Call,0.64,0.04,0.5,0.7,116,1687,0.02445,0,0.01606,-0.03377,0.24413,2/17/17,0.13168,846.549988,0.076659822,121
1002,3/17/17,905,GOOGL,Call,0.46,0.05,0.25,0.55,1,60,0.04394,0.00287,0.02853,-0.06358,0.3165,2/17/17,0.13132,846.549988,0.076659822,122
1006,3/24/17,840,GOOGL,Call,17.2,1.55,17.3,18.2,2,17,0.62416,0.01129,0.48963,-0.29448,0.98574,2/17/17,0.11668,846.549988,0.095824778,123
1010,3/24/17,852.5,GOOGL,Call,10.86,1.08,10.6,11.3,2,2,0.48624,0.01187,0.3846,-0.2887,1.0328,2/17/17,0.11668,846.549988,0.095824778,124
1011,3/24/17,920,GOOGL,Call,1.1,0.65,0.2,0.8,1,1,0.05429,0.00261,0.04376,-0.07837,0.35249,2/17/17,0.16245,846.549988,0.095824778,125
1028,3/3/17,835,GOOGL,Put,3.85,-1.75,3.3,4,26,70,-0.30187,0.01417,-0.08486,-0.32795,0.62156,2/17/17,0.1347,846.549988,0.038329911,126
1032,3/3/17,845,GOOGL,Put,7.13,-4.97,6.7,7.5,35,190,-0.44356,0.02137,-0.11544,-0.28547,0.63797,2/17/17,0.12596,846.549988,0.038329911,127
1039,3/10/17,785,GOOGL,Put,0.9,-4.15,0.4,0.95,2,40,-0.05878,0.00276,-0.02799,-0.13089,0.20019,2/17/17,0.19608,846.549988,0.057494867,128
1042,3/10/17,792.5,GOOGL,Put,1.2,-0.4,0.65,1.05,2,16,-0.04985,0.00289,-0.02345,-0.09256,0.19683,2/17/17,0.19037,846.549988,0.057494867,129
1047,3/10/17,805,GOOGL,Put,2.05,-0.18,1.05,1.45,2,25,-0.1214,0.00525,-0.05425,-0.19674,0.47969,2/17/17,0.18462,846.549988,0.057494867,130
1051,3/10/17,815,GOOGL,Put,3.3,0.14,1.75,3.1,2,65,-0.14693,0.00712,-0.06664,-0.18558,0.48079,2/17/17,0.17764,846.549988,0.057494867,131
1054,3/10/17,827.5,GOOGL,Put,4.82,-1.08,3.4,4,13,8,-0.22653,0.01097,-0.09069,-0.22903,0.70506,2/17/17,0.15273,846.549988,0.057494867,132
1055,3/10/17,830,GOOGL,Put,4.4,-3.48,3.9,4.6,12,22,-0.23017,0.01244,-0.09222,-0.20204,0.73788,2/17/17,0.13779,846.549988,0.057494867,133
1063,3/17/17,785,GOOGL,Put,1.07,-0.33,0.9,1.2,25,555,-0.06212,0.00281,-0.03944,-0.10591,0.2274,2/17/17,0.17659,846.549988,0.076659822,134
1064,3/17/17,790,GOOGL,Put,1.35,-0.37,1.05,1.4,106,779,-0.08009,0.0034,-0.0452,-0.13559,0.53739,2/17/17,0.1794,846.549988,0.076659822,135
1067,3/17/17,805,GOOGL,Put,2.22,-0.77,1.95,2.35,63,402,-0.11744,0.00516,-0.06967,-0.14054,0.54111,2/17/17,0.16256,846.549988,0.076659822,136
1069,3/17/17,815,GOOGL,Put,3.41,-1.09,2.95,3.5,104,398,-0.13261,0.00693,-0.07928,-0.12053,0.53775,2/17/17,0.15533,846.549988,0.076659822,137
1071,3/17/17,825,GOOGL,Put,5.14,-1.51,4.6,5.2,78,665,-0.20912,0.00982,-0.11664,-0.16798,0.61609,2/17/17,0.14628,846.549988,0.076659822,138
1075,3/17/17,845,GOOGL,Put,11.5,-2.7,10.7,11.5,148,169,-0.45247,0.01223,-0.22763,-0.25336,0.90289,2/17/17,0.13826,846.549988,0.076659822,139
1076,3/17/17,850,GOOGL,Put,13.86,-3.34,13,14,30,243,-0.50742,0.01131,-0.25246,-0.26653,0.91571,2/17/17,0.13989,846.549988,0.076659822,140
1077,3/17/17,855,GOOGL,Put,16.5,-3.3,15.7,16.7,8,168,-0.57921,0.01374,-0.27256,-0.18689,0.9303,2/17/17,0.13498,846.549988,0.076659822,141
1079,3/17/17,865,GOOGL,Put,24.29,-13.61,22,24.3,10,47,-0.73142,0.01377,-0.25991,-0.14539,0.84009,2/17/17,0.15201,846.549988,0.076659822,142
1080,3/17/17,870,GOOGL,Put,26.37,-24.53,25.3,28.1,1,22,-0.77477,0.01231,-0.26574,-0.13332,0.61832,2/17/17,0.13549,846.549988,0.076659822,143
1088,3/24/17,805,GOOGL,Put,3.32,-1.05,2.65,3.6,5,18,-0.12391,0.00516,-0.09259,-0.11831,0.59628,2/17/17,0.16264,846.549988,0.095824778,144
1091,3/24/17,820,GOOGL,Put,5.12,-1.43,4.8,5.3,15,27,-0.23063,0.00757,-0.15622,-0.19752,0.94469,2/17/17,0.15533,846.549988,0.095824778,145
1095,3/24/17,845,GOOGL,Put,12.8,-4.2,12.2,13.1,1,3,-0.44783,0.01233,-0.2815,-0.19458,1.00768,2/17/17,0.13989,846.549988,0.095824778,146
1102,4/21/17,800,GOOGL,Call,53.5,2,53.5,55.1,13,162,0.92459,0.0037,1.2572,-0.16316,0.70884,2/17/17,0.13498,846.549988,0.1724846,147
1105,4/21/17,820,GOOGL,Call,38.2,2.84,37.9,39.4,6,205,0.77218,0.00657,1.06285,-0.22881,1.22472,2/17/17,0.14137,846.549988,0.1724846,148
1107,4/21/17,830,GOOGL,Call,31.48,1.48,31.1,32.1,24,142,0.70899,0.00783,0.98552,-0.22528,1.25894,2/17/17,0.13829,846.549988,0.1724846,149
1108,4/21/17,835,GOOGL,Call,27.6,1,27.8,28.9,4,103,0.69327,0.00948,0.97417,-0.20604,1.26065,2/17/17,0.13509,846.549988,0.1724846,150
1110,4/21/17,845,GOOGL,Call,22.4,1.01,22,23.1,37,324,0.5876,0.00941,0.82765,-0.23529,1.33566,2/17/17,0.13661,846.549988,0.1724846,151
1112,4/21/17,855,GOOGL,Call,17.4,1.4,17,17.8,6,137,0.49512,0.01076,0.70637,-0.19945,1.40028,2/17/17,0.13525,846.549988,0.1724846,152
1113,4/21/17,860,GOOGL,Call,14.7,0.4,14.8,15.7,18,285,0.46247,0.0081,0.65156,-0.23679,1.40972,2/17/17,0.13628,846.549988,0.1724846,153
1115,4/21/17,870,GOOGL,Call,11.5,1,10.9,11.8,8,314,0.3636,0.00884,0.5197,-0.19719,1.478,2/17/17,0.13468,846.549988,0.1724846,154
1116,4/21/17,875,GOOGL,Call,10.2,1.15,9.4,10.2,8,238,0.30444,0.0092,0.43948,-0.16948,1.02132,2/17/17,0.13836,846.549988,0.1724846,155
1123,4/21/17,930,GOOGL,Call,1.47,0.17,1.25,1.7,5,34,0.0583,0.00246,0.08526,-0.05418,0.51875,2/17/17,0.14038,846.549988,0.1724846,156
1126,4/21/17,780,GOOGL,Put,4.6,-1,3.6,4.2,1,699,-0.08957,0.00287,-0.11752,-0.07513,0.75357,2/17/17,0.1918,846.549988,0.1724846,157
1128,4/21/17,795,GOOGL,Put,6.09,-1.7,5.4,6.1,14,52,-0.15882,0.00412,-0.21843,-0.11508,0.79518,2/17/17,0.17577,846.549988,0.1724846,158
1133,4/21/17,825,GOOGL,Put,12.58,-1.82,11.8,12.7,1,171,-0.31138,0.00634,-0.39481,-0.15101,1.28168,2/17/17,0.1706,846.549988,0.1724846,159
1148,6/16/17,830,GOOGL,Call,43.7,1.82,43.3,44.5,4,602,0.68138,0.00534,1.7471,-0.1994,1.73062,2/17/17,0.15685,846.549988,0.325804244,160
1149,6/16/17,840,GOOGL,Call,37.48,0.8,37.4,38.6,43,380,0.62465,0.00552,1.60885,-0.21037,1.79484,2/17/17,0.15351,846.549988,0.325804244,161
1152,6/16/17,855,GOOGL,Call,30.17,1.97,29.4,30.4,4,209,0.5473,0.00626,1.43263,-0.19424,1.88135,2/17/17,0.15641,846.549988,0.325804244,162
1156,6/16/17,875,GOOGL,Call,21.3,2,20.5,21.4,12,294,0.43598,0.00561,1.14477,-0.18761,1.99928,2/17/17,0.15795,846.549988,0.325804244,163
1169,6/16/17,770,GOOGL,Put,10.1,-1.08,8.8,9.6,2,344,-0.15335,0.00262,-0.40069,-0.08927,1.0541,2/17/17,0.2086,846.549988,0.325804244,164
