,ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,currentDate,Implied volatility,Underlying asset price,Expiration time,new_index
6638,4/21/17,115,IPGP,Put,2.75,0.65,2.45,2.9,5,75,-0.26702,0.02147,-0.05147,-0.04339,0.18434,2/17/17,0.24997,119.5,0.1724846,767
6642,7/21/17,115,IPGP,Put,6.14,0.91,5.6,6.6,8,9,-0.31743,0.01395,-0.15779,-0.02941,0.2866,2/17/17,0.29333,119.5,0.421629021,768
6671,2/24/17,121,TLT,Call,0.43,0.15,0.42,0.46,667,6069,0.4197,0.25228,0.00944,-0.05895,0.06532,2/17/17,0.10208,120.32,0.019164956,769
6677,2/24/17,116,TLT,Put,0.02,-0.01,0.01,0.03,972,1468,-0.03678,0.02945,-0.00078,-0.01684,0.01679,2/17/17,0.1336,120.32,0.019164956,770
6678,2/24/17,116.5,TLT,Put,0.03,-0.03,0.02,0.03,78,1215,-0.02024,0.02269,-0.00041,-0.00853,0.01645,2/17/17,0.1339,120.32,0.019164956,771
6681,2/24/17,118,TLT,Put,0.12,-0.08,0.1,0.12,167,1205,-0.1452,0.09098,-0.00302,-0.04519,0.04052,2/17/17,0.12031,120.32,0.019164956,772
6682,2/24/17,118.5,TLT,Put,0.17,-0.14,0.15,0.17,282,2226,-0.14766,0.11307,-0.00307,-0.03683,0.04027,2/17/17,0.11668,120.32,0.019164956,773
6684,2/24/17,119.5,TLT,Put,0.36,-0.27,0.36,0.4,1555,360,-0.29294,0.16661,-0.00565,-0.05715,0.0623,2/17/17,0.10537,120.32,0.019164956,774
6686,2/24/17,120.5,TLT,Put,0.8,-0.47,0.78,0.83,1177,322,-0.47254,0.20843,-0.0083,-0.06493,0.06402,2/17/17,0.11668,120.32,0.019164956,775
6690,2/24/17,124,TLT,Put,3.65,-0.36,3.6,3.75,20,89,-0.84074,0.07794,-0.01252,-0.0563,0.04396,2/17/17,0.12281,120.32,0.019164956,776
6692,3/3/17,117,TLT,Call,3.65,0.35,3.35,3.55,3,76,1,0,0.04425,-0.01788,0,2/17/17,0.1325,120.32,0.038329911,777
6694,3/3/17,119,TLT,Call,1.83,0.41,1.78,1.84,54,15498,0.94722,0.09961,0.04268,-0.02232,0.03602,2/17/17,0.09781,120.32,0.038329911,778
6696,3/3/17,120,TLT,Call,1.17,0.25,1.17,1.2,225,2716,0.68545,0.22618,0.0311,-0.03579,0.08645,2/17/17,0.09603,120.32,0.038329911,779
6698,3/3/17,121,TLT,Call,0.72,0.14,0.7,0.74,6993,5408,0.46365,0.18762,0.02106,-0.04417,0.09276,2/17/17,0.10152,120.32,0.038329911,780
6699,3/3/17,121.5,TLT,Call,0.54,0.28,0.53,0.57,70,532,0.36327,0.18877,0.01657,-0.0382,0.09545,2/17/17,0.10208,120.32,0.038329911,781
